ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000402.SZ,20211231,5.64,5.69,5.64,5.66,5.64,0.02,0.3546,133490.95,75588.571
000402.SZ,20211230,5.66,5.67,5.63,5.64,5.63,0.01,0.1776,122563.17,69185.795
000402.SZ,20211229,5.66,5.68,5.63,5.63,5.66,-0.03,-0.53,100868.09,56987.103
000402.SZ,20211228,5.68,5.68,5.63,5.66,5.67,-0.01,-0.1764,110700.69,62606.904
000402.SZ,20211227,5.67,5.73,5.66,5.67,5.65,0.02,0.354,162218.55,92335.932
000402.SZ,20211224,5.68,5.72,5.62,5.65,5.68,-0.03,-0.5282,170618.72,96486.04
000402.SZ,20211223,5.85,5.87,5.67,5.68,5.87,-0.19,-3.2368,522658.49,299227.995
000402.SZ,20211222,5.97,6.02,5.85,5.87,5.98,-0.11,-1.8395,348758.79,206077.887
000402.SZ,20211221,5.77,5.99,5.75,5.98,5.74,0.24,4.1812,538353.62,318460.779
000402.SZ,20211220,5.71,5.82,5.7,5.74,5.74,0.0,0.0,227455.2,131188.374
000402.SZ,20211217,5.72,5.77,5.7,5.74,5.73,0.01,0.1745,194328.77,111410.84
000402.SZ,20211216,5.64,5.76,5.62,5.73,5.65,0.08,1.4159,256171.16,146450.181
000402.SZ,20211215,5.58,5.69,5.58,5.65,5.6,0.05,0.8929,145222.25,82190.471
000402.SZ,20211214,5.61,5.64,5.58,5.6,5.63,-0.03,-0.5329,95578.77,53556.103
000402.SZ,20211213,5.67,5.7,5.62,5.63,5.64,-0.01,-0.1773,149745.65,84625.051
000402.SZ,20211210,5.69,5.72,5.64,5.64,5.71,-0.07,-1.2259,152179.73,86446.788
000402.SZ,20211209,5.64,5.73,5.63,5.71,5.66,0.05,0.8834,181487.7,103498.895
000402.SZ,20211208,5.65,5.66,5.61,5.66,5.66,0.0,0.0,106109.26,59766.612
000402.SZ,20211207,5.63,5.7,5.6,5.66,5.58,0.08,1.4337,180149.8,101738.333
000402.SZ,20211206,5.65,5.69,5.57,5.58,5.62,-0.04,-0.7117,130285.63,73377.22
000402.SZ,20211203,5.58,5.64,5.55,5.62,5.56,0.06,1.0791,111829.61,62573.865
000402.SZ,20211202,5.56,5.6,5.54,5.56,5.56,0.0,0.0,106329.84,59257.083
000402.SZ,20211201,5.54,5.59,5.53,5.56,5.51,0.05,0.9074,111719.69,62101.355
000402.SZ,20211130,5.58,5.62,5.51,5.51,5.59,-0.08,-1.4311,205991.72,114296.125
000402.SZ,20211129,5.61,5.64,5.57,5.59,5.72,-0.13,-2.2727,113882.68,63835.935
000402.SZ,20211126,5.67,5.83,5.62,5.72,5.68,0.04,0.7042,131365.17,74969.653
000402.SZ,20211125,5.72,5.72,5.66,5.68,5.71,-0.03,-0.5254,69341.02,39462.895
000402.SZ,20211124,5.68,5.72,5.68,5.71,5.69,0.02,0.3515,109355.05,62352.668
000402.SZ,20211123,5.64,5.75,5.63,5.69,5.64,0.05,0.8865,123356.49,70302.446
000402.SZ,20211122,5.69,5.7,5.63,5.64,5.69,-0.05,-0.8787,93688.13,52941.002
000402.SZ,20211119,5.65,5.71,5.62,5.69,5.64,0.05,0.8865,113826.76,64488.673
000402.SZ,20211118,5.74,5.74,5.61,5.64,5.74,-0.1,-1.7422,183341.53,103844.144
000402.SZ,20211117,5.77,5.77,5.73,5.74,5.77,-0.03,-0.5199,94247.65,54137.918
000402.SZ,20211116,5.82,5.82,5.75,5.77,5.78,-0.01,-0.173,107883.61,62348.809
000402.SZ,20211115,6.06,6.08,5.75,5.78,6.06,-0.28,-4.6205,370586.65,215093.573
000402.SZ,20211112,6.13,6.14,6.02,6.06,6.14,-0.08,-1.3029,156724.97,95082.267
000402.SZ,20211111,5.95,6.16,5.93,6.14,5.95,0.19,3.1933,232351.55,141449.689
000402.SZ,20211110,5.92,5.95,5.82,5.95,5.93,0.02,0.3373,77491.48,45619.982
000402.SZ,20211109,5.96,5.99,5.92,5.93,5.94,-0.01,-0.1684,46323.61,27561.047
000402.SZ,20211108,5.94,5.97,5.88,5.94,5.92,0.02,0.3378,49290.02,29247.923
000402.SZ,20211105,5.95,5.95,5.87,5.92,5.93,-0.01,-0.1686,52808.28,31180.984
000402.SZ,20211104,5.93,5.95,5.9,5.93,5.94,-0.01,-0.1684,39818.85,23581.787
000402.SZ,20211103,5.92,5.98,5.88,5.94,5.92,0.02,0.3378,63256.05,37618.033
000402.SZ,20211102,5.94,5.95,5.85,5.92,5.96,-0.04,-0.6711,85857.18,50579.601
000402.SZ,20211101,5.87,5.99,5.81,5.96,5.84,0.12,2.0548,88351.43,52365.003
000402.SZ,20211029,5.77,5.84,5.75,5.84,5.78,0.06,1.0381,54380.9,31591.355
000402.SZ,20211028,5.76,5.78,5.68,5.78,5.76,0.02,0.3472,73263.64,41937.112
000402.SZ,20211027,5.89,5.9,5.75,5.76,5.89,-0.13,-2.2071,86599.93,50198.174
000402.SZ,20211026,5.94,5.95,5.87,5.89,5.95,-0.06,-1.0084,67012.25,39545.631
000402.SZ,20211025,6.02,6.04,5.91,5.95,6.06,-0.11,-1.8152,95173.26,56548.638
000402.SZ,20211022,5.97,6.13,5.95,6.06,5.94,0.12,2.0202,162245.64,98116.716
000402.SZ,20211021,5.87,5.99,5.86,5.94,5.88,0.06,1.0204,98922.84,58753.897
000402.SZ,20211020,5.86,5.9,5.84,5.88,5.86,0.02,0.3413,62278.56,36598.761
000402.SZ,20211019,5.9,5.91,5.85,5.86,5.92,-0.06,-1.0135,89884.23,52777.261
000402.SZ,20211018,5.93,5.98,5.89,5.92,5.93,-0.01,-0.1686,81409.93,48226.6
000402.SZ,20211015,5.98,6.0,5.92,5.93,6.0,-0.07,-1.1667,84060.03,50022.756
000402.SZ,20211014,6.05,6.05,5.99,6.0,6.02,-0.02,-0.3322,58642.36,35190.202
000402.SZ,20211013,6.02,6.04,5.98,6.02,6.01,0.01,0.1664,51619.5,31039.691
000402.SZ,20211012,6.06,6.09,5.98,6.01,6.07,-0.06,-0.9885,110240.41,66478.82
000402.SZ,20211011,6.1,6.14,6.06,6.07,6.09,-0.02,-0.3284,106068.66,64653.474
000402.SZ,20211008,6.05,6.11,6.03,6.09,6.0,0.09,1.5,102281.46,62101.893
000402.SZ,20210930,6.01,6.07,6.0,6.0,6.01,-0.01,-0.1664,90824.38,54716.218
000402.SZ,20210929,6.04,6.06,5.97,6.01,6.08,-0.07,-1.1513,102609.26,61616.401
000402.SZ,20210928,5.96,6.11,5.96,6.08,5.97,0.11,1.8425,119311.01,72348.079
000402.SZ,20210927,6.04,6.06,5.94,5.97,6.06,-0.09,-1.4851,140672.3,83993.328
000402.SZ,20210924,6.12,6.16,6.04,6.06,6.12,-0.06,-0.9804,146799.57,89341.491
000402.SZ,20210923,6.11,6.24,6.09,6.12,6.09,0.03,0.4926,231857.32,142609.11
000402.SZ,20210922,6.0,6.15,5.97,6.09,6.11,-0.02,-0.3273,193743.24,117406.383
000402.SZ,20210917,6.2,6.23,6.09,6.11,6.23,-0.12,-1.9262,175189.34,107712.758
000402.SZ,20210916,6.19,6.35,6.17,6.23,6.19,0.04,0.6462,201648.46,126151.091
000402.SZ,20210915,6.19,6.25,6.16,6.19,6.21,-0.02,-0.3221,128519.2,79753.079
000402.SZ,20210914,6.38,6.4,6.21,6.21,6.4,-0.19,-2.9688,223859.5,140968.031
000402.SZ,20210913,6.37,6.46,6.29,6.4,6.34,0.06,0.9464,230787.22,147678.319
000402.SZ,20210910,6.46,6.46,6.33,6.34,6.47,-0.13,-2.0093,298157.09,190318.902
000402.SZ,20210909,6.43,6.53,6.42,6.47,6.42,0.05,0.7788,323953.51,209034.537
000402.SZ,20210908,6.46,6.49,6.41,6.42,6.49,-0.07,-1.0786,350268.54,225598.792
000402.SZ,20210907,6.65,6.68,6.38,6.49,6.71,-0.22,-3.2787,775000.05,501732.167
000402.SZ,20210906,6.85,7.19,6.6,6.71,6.94,-0.23,-3.3141,1066877.83,727285.226
000402.SZ,20210903,6.94,6.94,6.75,6.94,6.31,0.63,9.9842,680511.44,471348.085
000402.SZ,20210902,6.26,6.5,6.22,6.31,6.25,0.06,0.96,405609.11,257216.102
000402.SZ,20210901,6.36,6.36,6.15,6.25,6.49,-0.24,-3.698,435408.05,271750.761
000402.SZ,20210831,6.13,6.63,6.05,6.49,6.14,0.35,5.7003,635668.24,404129.109
000402.SZ,20210830,5.89,6.25,5.89,6.14,5.93,0.21,3.5413,393679.58,239928.342
000402.SZ,20210827,5.8,6.03,5.75,5.93,5.81,0.12,2.0654,241510.07,142580.592
000402.SZ,20210826,5.82,5.85,5.77,5.81,5.83,-0.02,-0.3431,74593.14,43303.811
000402.SZ,20210825,5.84,5.84,5.78,5.83,5.83,0.0,0.0,58306.03,33860.22
000402.SZ,20210824,5.81,5.86,5.79,5.83,5.81,0.02,0.3442,76958.41,44819.85
000402.SZ,20210823,5.79,5.89,5.75,5.81,5.83,-0.02,-0.3431,79388.23,46244.622
000402.SZ,20210820,5.83,5.86,5.77,5.83,5.83,0.0,0.0,67566.92,39243.14
000402.SZ,20210819,5.89,5.91,5.83,5.83,5.93,-0.1,-1.6863,69244.58,40523.787
000402.SZ,20210818,5.85,5.94,5.81,5.93,5.85,0.08,1.3675,103852.61,61000.047
000402.SZ,20210817,5.95,6.0,5.84,5.85,5.94,-0.09,-1.5152,99741.93,59064.924
000402.SZ,20210816,5.9,6.01,5.88,5.94,5.93,0.01,0.1686,86328.01,51318.766
000402.SZ,20210813,5.93,5.98,5.82,5.93,5.92,0.01,0.1689,125642.26,73977.035
000402.SZ,20210812,5.95,6.0,5.91,5.92,5.98,-0.06,-1.0033,91828.74,54514.44
000402.SZ,20210811,5.9,6.08,5.9,5.98,5.88,0.1,1.7007,190088.73,114463.645
000402.SZ,20210810,5.81,5.96,5.75,5.88,5.84,0.04,0.6849,134407.34,78806.027
000402.SZ,20210809,5.7,5.88,5.68,5.84,5.68,0.16,2.8169,126085.55,73252.213
000402.SZ,20210806,5.72,5.72,5.6,5.68,5.72,-0.04,-0.6993,70291.09,39765.245
000402.SZ,20210805,5.7,5.83,5.65,5.72,5.7,0.02,0.3509,114077.76,65746.621
000402.SZ,20210804,5.73,5.74,5.68,5.7,5.74,-0.04,-0.6969,70967.52,40477.611
000402.SZ,20210803,5.69,5.76,5.67,5.74,5.72,0.02,0.3497,92114.67,52654.952
000402.SZ,20210802,5.66,5.75,5.57,5.72,5.66,0.06,1.0601,104379.7,59167.669
000402.SZ,20210730,5.62,5.67,5.51,5.66,5.62,0.04,0.7117,93732.32,52610.101
000402.SZ,20210729,5.65,5.7,5.59,5.62,5.6,0.02,0.3571,97706.87,55019.416
000402.SZ,20210728,5.69,5.71,5.56,5.6,5.68,-0.08,-1.4085,136366.02,76679.016
000402.SZ,20210727,5.86,5.91,5.68,5.68,5.88,-0.2,-3.4014,177416.8,102471.362
000402.SZ,20210726,6.06,6.07,5.85,5.88,6.06,-0.18,-2.9703,169849.82,100626.663
000402.SZ,20210723,6.12,6.13,6.06,6.06,6.11,-0.05,-0.8183,120279.68,73124.791
000402.SZ,20210722,6.13,6.16,6.07,6.11,6.12,-0.01,-0.1634,103846.73,63555.132
000402.SZ,20210721,6.14,6.16,6.1,6.12,6.11,0.01,0.1637,109372.81,66990.846
000402.SZ,20210720,6.19,6.22,6.09,6.11,6.22,-0.11,-1.7685,155439.08,95447.434
000402.SZ,20210719,6.45,6.46,6.15,6.22,6.48,-0.26,-4.0123,284766.47,177760.263
000402.SZ,20210716,6.55,6.63,6.47,6.48,6.54,-0.06,-0.9174,203507.67,132760.931
000402.SZ,20210715,6.67,6.67,6.41,6.54,6.73,-0.19,-2.8232,285064.68,186125.204
000402.SZ,20210714,6.87,7.08,6.69,6.73,6.72,0.01,0.1488,484198.59,333797.271
000402.SZ,20210713,6.52,6.79,6.44,6.72,6.52,0.2,3.0675,298074.1,197927.388
000402.SZ,20210712,6.55,6.59,6.49,6.52,6.51,0.01,0.1536,124832.63,81330.142
000402.SZ,20210709,6.58,6.59,6.43,6.51,6.58,-0.07,-1.0638,162088.12,105496.749
000402.SZ,20210708,6.86,6.94,6.83,6.88,6.83,0.05,0.7321,187348.03,129029.788
000402.SZ,20210707,6.85,6.85,6.77,6.83,6.86,-0.03,-0.4373,116255.91,79040.972
000402.SZ,20210706,6.74,6.89,6.71,6.86,6.73,0.13,1.9316,154559.38,105643.751
000402.SZ,20210705,6.79,6.84,6.7,6.73,6.77,-0.04,-0.5908,121564.72,82067.832
000402.SZ,20210702,6.79,6.85,6.75,6.77,6.78,-0.01,-0.1475,110621.86,75267.913
000402.SZ,20210701,6.77,6.87,6.74,6.78,6.75,0.03,0.4444,108878.82,74219.929
000402.SZ,20210630,6.77,6.83,6.73,6.75,6.79,-0.04,-0.5891,94934.99,64209.976
000402.SZ,20210629,6.86,6.89,6.77,6.79,6.87,-0.08,-1.1645,130583.74,89077.421
000402.SZ,20210628,7.01,7.04,6.86,6.87,7.01,-0.14,-1.9971,177969.05,123337.99
000402.SZ,20210625,7.07,7.12,6.97,7.01,7.07,-0.06,-0.8487,203391.05,142570.127
000402.SZ,20210624,6.96,7.18,6.91,7.07,6.96,0.11,1.5805,306861.9,217069.74
000402.SZ,20210623,7.03,7.08,6.94,6.96,7.0,-0.04,-0.5714,182153.07,127479.804
000402.SZ,20210622,6.93,7.08,6.86,7.0,6.91,0.09,1.3025,266225.78,185675.915
000402.SZ,20210621,6.82,6.97,6.73,6.91,6.82,0.09,1.3196,199519.64,136678.825
000402.SZ,20210618,6.77,6.88,6.69,6.82,6.78,0.04,0.59,146506.73,99601.026
000402.SZ,20210617,6.89,6.94,6.76,6.78,6.9,-0.12,-1.7391,152286.35,103895.773
000402.SZ,20210616,6.87,6.96,6.84,6.9,6.89,0.01,0.1451,128634.78,88763.906
000402.SZ,20210615,7.02,7.03,6.85,6.89,7.04,-0.15,-2.1307,177299.42,122472.919
000402.SZ,20210611,6.98,7.08,6.93,7.04,6.92,0.12,1.7341,228231.75,160024.02
000402.SZ,20210610,7.0,7.01,6.89,6.92,7.01,-0.09,-1.2839,230922.25,160356.578
000402.SZ,20210609,6.99,7.07,6.93,7.01,7.0,0.01,0.1429,157762.0,110474.918
000402.SZ,20210608,7.19,7.19,6.96,7.0,7.2,-0.2,-2.7778,308919.48,217423.786
000402.SZ,20210607,7.1,7.31,7.1,7.2,7.12,0.08,1.1236,224716.68,161979.548
000402.SZ,20210604,7.12,7.25,7.08,7.12,7.13,-0.01,-0.1403,228513.76,163538.707
000402.SZ,20210603,7.21,7.27,7.08,7.13,7.17,-0.04,-0.5579,295783.77,211961.69
000402.SZ,20210602,7.39,7.45,7.15,7.17,7.39,-0.22,-2.977,423930.38,308530.231
000402.SZ,20210601,7.58,7.59,7.32,7.39,7.71,-0.32,-4.1505,494122.89,366807.676
000402.SZ,20210531,7.46,7.83,7.26,7.71,7.45,0.26,3.4899,639509.01,483446.844
000402.SZ,20210528,7.52,7.64,7.37,7.45,7.46,-0.01,-0.134,423934.06,317196.602
000402.SZ,20210527,7.48,7.72,7.4,7.46,7.6,-0.14,-1.8421,567328.08,425877.844
000402.SZ,20210526,7.42,7.96,7.31,7.6,7.38,0.22,2.981,927785.84,704695.651
000402.SZ,20210525,7.49,7.65,7.19,7.38,7.46,-0.08,-1.0724,849279.01,631993.758
000402.SZ,20210524,6.89,7.46,6.89,7.46,6.78,0.68,10.0295,384886.2,281583.911
000402.SZ,20210521,6.77,6.85,6.7,6.78,6.85,-0.07,-1.0219,287911.65,194971.584
000402.SZ,20210520,6.86,7.05,6.74,6.85,6.87,-0.02,-0.2911,470566.65,324856.692
000402.SZ,20210519,6.75,6.88,6.67,6.87,6.76,0.11,1.6272,317046.8,215309.215
