ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600007.SH,20211231,14.28,14.45,14.21,14.4,14.23,0.17,1.1947,23960.36,34441.658
600007.SH,20211230,14.25,14.32,14.17,14.23,14.25,-0.02,-0.1404,21502.65,30643.856
600007.SH,20211229,14.17,14.39,14.1,14.25,14.2,0.05,0.3521,21690.23,30976.9
600007.SH,20211228,14.13,14.23,13.97,14.2,14.1,0.1,0.7092,24656.67,34815.088
600007.SH,20211227,14.01,14.29,13.91,14.1,13.86,0.24,1.7316,37393.8,52746.553
600007.SH,20211224,14.66,14.72,13.86,13.86,14.62,-0.76,-5.1984,86273.12,122577.208
600007.SH,20211223,15.0,15.08,14.57,14.62,15.0,-0.38,-2.5333,46757.46,68917.504
600007.SH,20211222,15.23,15.38,14.96,15.0,15.27,-0.27,-1.7682,42752.13,64655.038
600007.SH,20211221,14.7,15.36,14.65,15.27,14.72,0.55,3.7364,62093.23,94129.081
600007.SH,20211220,14.63,14.9,14.59,14.72,14.7,0.02,0.1361,26000.31,38466.428
600007.SH,20211217,14.9,15.03,14.63,14.7,14.91,-0.21,-1.4085,30429.71,45036.058
600007.SH,20211216,15.2,15.31,14.82,14.91,15.31,-0.4,-2.6127,49307.51,73656.787
600007.SH,20211215,14.79,15.76,14.66,15.31,14.71,0.6,4.0789,91877.51,140581.801
600007.SH,20211214,14.75,14.79,14.44,14.71,14.7,0.01,0.068,39398.1,57629.264
600007.SH,20211213,14.7,14.8,14.56,14.7,14.7,0.0,0.0,28460.79,41761.68
600007.SH,20211210,14.69,14.87,14.64,14.7,14.7,0.0,0.0,29049.44,42913.754
600007.SH,20211209,14.79,14.94,14.67,14.7,14.71,-0.01,-0.068,34808.11,51484.025
600007.SH,20211208,14.36,14.79,14.21,14.71,14.33,0.38,2.6518,47271.84,68574.271
600007.SH,20211207,14.47,14.57,14.2,14.33,14.32,0.01,0.0698,25071.79,35924.582
600007.SH,20211206,14.36,14.56,14.25,14.32,14.25,0.07,0.4912,30940.6,44577.635
600007.SH,20211203,14.18,14.38,14.15,14.25,14.18,0.07,0.4937,25587.31,36578.451
